date,state_code,total_tests,new_tests,total_cases,new_cases,total_negatives,new_negatives,total_deaths,new_deaths,total_hospitalized,currently_hospitalized,new_hospitalized,in_icu_currently,in_icu_cumulative,on_ventilator_currently,on_ventilator_cumulative,recovered,data_quality_grade
20200719,AK,173010,4647,2277,118,170733,4529,18,0,,27,0,,,1,,712,A
20200719,AL,585533,11038,67011,1777,518522,9261,1287,1,7782,920,0,,988,,526,29736,B
20200719,AR,419171,6166,32533,771,386638,5395,357,4,2177,453,42,,,97,307,25292,A+
20200719,AZ,785979,13988,143624,2359,642355,11629,2761,31,6632,3136,65,894,,622,,18149,A+
20200719,CA,6286852,119634,384692,9329,5902160,110305,7685,90,,8398,0,2107,,,,,B
20200719,CO,435938,5155,39788,444,396150,4711,1615,0,6019,401,25,,,,,4948,A
20200719,CT,629969,0,47893,0,582076,0,4396,0,10654,66,0,,,,,8466,B
20200719,DC,147765,2810,11261,67,136504,2743,578,0,,91,0,17,,12,,1886,A+
20200719,DE,152995,2238,13519,90,139476,2148,523,0,,47,0,9,,,,7362,A+
20200719,FL,3002641,70653,350047,12478,2652594,58175,5091,89,21309,9363,340,,,,,,A
20200719,GA,1255319,23513,143123,3251,1112196,20262,3173,5,15010,3036,49,,2822,,,,A
20200719,GU,18253,0,315,0,17938,0,5,0,,4,0,,,,,222,B
20200719,HI,104635,1640,1354,20,103281,1620,24,1,140,,1,,,,,1019,D
20200719,IA,415491,11762,38723,816,376768,10946,794,7,,214,0,75,,31,,27894,A+
20200719,ID,146186,3681,14302,550,131884,3131,119,1,583,224,13,33,180,,,3989,A
20200719,IL,2245686,32113,162750,965,2082936,31148,7488,5,,1356,0,320,,132,,,A
20200719,IN,626880,12425,56571,917,570309,11508,2822,2,7895,786,34,244,1675,81,,40965,A+
20200719,KS,249353,0,21965,0,227388,0,299,0,1453,,0,58,427,14,161,983,A
20200719,KY,490201,0,22184,0,468017,0,667,0,2875,514,0,109,1033,,,6824,B
20200719,LA,1069304,25364,91706,3116,977598,22248,3543,34,,1469,0,,,177,,53288,B
20200719,MA,1040535,13702,113534,296,927001,13406,8431,12,11717,498,8,64,,41,,95390,A+
20200719,MD,739785,18799,78131,925,661654,17874,3377,9,11841,449,53,131,,,,5344,A
20200719,ME,137437,2508,3687,41,133750,2467,117,0,375,10,0,9,,7,,3148,A+
20200719,MI,1484459,28381,81868,530,1402591,27851,6366,2,,680,0,201,,102,,55162,A+
20200719,MN,853188,17226,46204,734,806984,16492,1581,3,4627,258,25,120,1389,,,40001,A
20200719,MO,559079,8203,33094,846,525985,7357,1129,-1,,875,0,,,86,,,B
20200719,MP,10701,0,37,0,10664,0,2,0,4,,0,,,,,29,D
20200719,MS,378077,792,42638,792,335439,0,1355,9,3727,1129,0,278,,132,,25932,A
20200719,MT,133159,1280,2533,62,130626,1218,37,0,165,47,1,,,,,1075,C
20200719,NC,1394864,15721,99778,1820,1295086,13901,1634,5,,1115,0,,,,,67124,A
20200719,ND,133854,2339,5019,112,128835,2227,82,0,302,45,7,,,,,4131,D
20200719,NE,232401,1250,22481,120,209920,1130,301,0,1481,113,1,,,,,16801,B
20200719,NH,143378,1592,6203,38,137175,1554,398,3,673,17,3,,193,,,5251,B
20200719,NJ,1791137,9687,176783,-31,1614354,9718,15706,7,21064,766,0,149,,65,,31405,A+
20200719,NM,460664,8366,16736,280,443928,8086,569,4,2364,160,27,,,,,6736,B
20200719,NV,389788,7251,35765,1288,354023,5963,647,1,,1045,0,287,,149,,842,A+
20200719,NY,5115470,46204,406807,502,4708663,45702,25048,13,89995,722,0,160,,96,,72161,A
20200719,OH,1162914,24478,74932,1110,1087982,23368,3174,42,9555,1065,42,318,2315,163,,51086,B
20200719,OK,475940,209,25265,209,450675,0,451,0,2388,547,13,232,,,,19466,A+
20200719,OR,335590,4797,14579,430,321011,4367,260,3,1327,242,0,64,,34,,3225,A+
20200719,PA,1027379,14652,101027,786,926352,13866,7015,8,,703,0,,,96,,76780,A+
20200719,PR,204749,610,12063,610,192686,0,178,0,,315,0,26,,18,,,B
20200719,RI,179201,0,17793,0,161408,0,990,0,2088,62,0,4,,2,,1717,A+
20200719,SC,577386,15393,69986,2374,507400,13019,1155,20,4182,1593,0,,,,,22553,A
20200719,SD,98087,840,7906,44,90181,796,118,2,774,63,3,,,,,6952,B
20200719,TN,1197297,23645,78115,1779,1119182,21866,843,5,3681,1327,32,,,,,44319,A
20200719,TX,2932364,89679,325030,7300,2607334,82379,3958,93,,10592,0,,,,,172936,B
20200719,UT,462822,6582,34117,785,428705,5797,243,0,2033,296,19,102,543,,222,20915,A+
20200719,VA,907363,17662,77430,1057,829933,16605,2027,2,11203,1186,61,249,,127,,10017,A+
20200719,VI,6884,362,297,14,6587,348,6,0,,,0,,,,,135,C
20200719,VT,82500,2054,1350,12,81150,2042,56,0,,24,0,,,,,1137,B
20200719,WA,791786,24129,46026,959,745760,23170,1444,10,5033,364,49,,,62,,,B
20200719,WI,776850,8108,45948,849,730902,7259,851,1,4107,339,25,99,826,,,32628,A+
20200719,WV,230988,5477,5042,148,225946,5329,100,0,,76,0,32,,15,,3373,B
20200719,WY,44053,18,2126,18,41927,0,24,0,143,19,1,,,,,1615,B
20200718,AK,168363,2949,2159,78,166204,2871,18,1,,26,0,,,1,,708,A
20200718,AL,574495,11380,65234,2143,509261,9237,1286,21,7782,1416,198,,982,,524,29736,B
20200718,AR,413005,5508,31762,0,381243,5508,353,0,2135,464,65,,,97,304,24776,A+
20200718,AS,1037,0,0,0,1037,0,0,0,,,0,,,,,,C
20200718,AZ,771991,7023,141265,2742,630726,4281,2730,147,6567,3238,165,894,,657,,17661,A+
20200718,CA,6167218,123119,375363,9199,5791855,113920,7595,120,,8502,0,2125,,,,,B
20200718,CO,430783,6434,39344,618,391439,5816,1615,0,5994,394,28,,,,,4927,A
20200718,CT,629969,0,47893,0,582076,0,4396,0,10654,66,0,,,,,8466,B
20200718,DC,144955,3348,11194,79,133761,3269,578,1,,88,0,17,,12,,1877,A+
20200718,DE,150757,2147,13429,92,137328,2055,523,2,,51,0,8,,,,7362,A+
20200718,FL,2931988,51220,337569,10328,2594419,40892,5002,90,20969,9144,443,,,,,,A
20200718,GA,1231806,33128,139872,4689,1091934,28439,3168,36,14961,2929,314,,2819,,,,A
20200718,GU,18253,1,315,1,17938,0,5,0,,4,0,,,,,222,B
20200718,HI,102995,1791,1334,23,101661,1768,23,1,139,,1,,,,,994,D
20200718,IA,403729,1276,37907,185,365822,1091,787,3,,210,0,70,,27,,27820,A+
20200718,ID,142505,2186,13752,619,128753,1567,118,4,570,224,16,33,170,,,3827,A
20200718,IL,2213573,46099,161785,1276,2051788,44823,7483,18,,1360,0,326,,119,,,A
20200718,IN,614455,9820,55654,841,558801,8979,2820,17,7861,798,47,245,1667,84,,40722,A+
20200718,KS,249353,0,21965,0,227388,0,299,0,1453,,0,58,427,14,161,983,A
20200718,KY,490201,7139,22184,579,468017,6560,667,9,2875,514,11,109,1033,,,6824,B
20200718,LA,1043940,0,88590,0,955350,0,3509,0,,1413,0,,,161,,53288,B
20200718,MA,1026833,12246,113238,359,913595,11887,8419,17,11709,499,18,86,,43,,95390,A+
20200718,MD,720986,12770,77206,835,643780,11935,3368,9,11788,448,60,137,,,,5344,A
20200718,ME,134929,1484,3646,10,131283,1474,117,2,375,9,0,8,,5,,3136,A+
20200718,MI,1456078,30572,81338,745,1374740,29827,6364,9,,680,0,201,,102,,55162,A+
20200718,MN,835962,16451,45470,457,790492,15994,1578,5,4602,265,39,117,1377,,,39310,A
20200718,MO,550876,12980,32248,960,518628,12020,1130,9,,875,0,,,86,,,B
20200718,MP,10701,0,37,0,10664,0,2,0,4,,0,,,,,29,D
20200718,MS,377285,5821,41846,1017,335439,4804,1346,14,3727,1076,15,253,,129,,25932,A
20200718,MT,131879,1475,2471,105,129408,1370,37,0,164,46,5,,,,,1075,C
20200718,NC,1379143,35169,97958,2481,1281185,32688,1629,23,,1154,0,,,,,67124,A
20200718,ND,131515,2040,4907,115,126608,1925,82,0,295,38,5,,,,,4029,D
20200718,NE,231151,4955,22361,227,208790,4728,301,2,1480,105,27,,,,,16665,B
20200718,NH,141786,0,6165,0,135621,0,395,0,670,24,0,,192,,,5188,B
20200718,NJ,1781450,12522,176814,263,1604636,12259,15699,15,21064,800,61,141,,73,,31400,A+
20200718,NM,452298,8930,16456,318,435842,8612,565,3,2337,166,25,,,,,6654,B
20200718,NV,382537,5530,34477,1182,348060,4348,646,9,,1006,0,285,,150,,842,A+
20200718,NY,5069266,69817,406305,754,4662961,69063,25035,11,89995,743,0,172,,100,,72064,A
20200718,OH,1138436,22312,73822,1542,1064614,20770,3132,20,9513,1024,68,315,2311,159,,50280,B
20200718,OK,475731,10687,25056,916,450675,9771,451,6,2375,547,86,232,,,,19186,A+
20200718,OR,330793,6598,14149,347,316644,6251,257,3,1327,242,0,64,,34,,3225,A+
20200718,PA,1012727,13337,100241,763,912486,12574,7007,15,,699,0,,,93,,76183,A+
20200718,PR,204139,333,11453,333,192686,0,178,1,,316,0,29,,25,,,B
20200718,RI,179201,0,17793,0,161408,0,990,0,2088,62,0,4,,2,,1717,A+
20200718,SC,561993,8618,67612,1552,494381,7066,1135,39,4182,1593,0,,,,,23849,A
20200718,SD,97247,1274,7862,73,89385,1201,116,0,771,70,8,,,,,6891,B
20200718,TN,1173652,22980,76336,2517,1097316,20463,838,23,3649,1378,87,,,,,43706,A
20200718,TX,2842685,75364,317730,10158,2524955,65206,3865,130,,10658,0,,,,,169581,B
20200718,UT,456240,8434,33332,760,422908,7674,243,8,2014,251,30,91,541,,222,20421,A+
20200718,VA,889701,12997,76373,940,813328,12057,2025,12,11142,1166,88,254,,108,,9976,A+
20200718,VI,6522,469,283,20,6239,449,6,0,,,0,,,,,133,C
20200718,VT,80446,1080,1338,4,79108,1076,56,0,,25,0,,,,,1125,B
20200718,WA,767657,14483,45067,754,722590,13729,1434,7,4984,348,40,,,46,,,B
20200718,WI,768742,12477,45099,1031,723643,11446,850,10,4082,315,51,89,823,,,32004,A+
20200718,WV,225511,2959,4894,111,220617,2848,100,0,,74,0,33,,16,,3295,B
20200718,WY,44035,39,2108,39,41927,0,24,0,142,19,2,,,,,1611,B
20200717,AK,165414,2392,2081,49,163333,2343,17,0,,32,0,,,0,,697,A
20200717,AL,563115,12006,63091,2003,500024,10003,1265,35,7584,1416,0,,967,,521,29736,B
20200717,AR,407497,6536,31762,648,375735,5888,353,12,2070,464,76,,,97,298,24776,A
20200717,AS,1037,0,0,0,1037,0,0,0,,,0,,,,,,C
20200717,AZ,764968,15702,138523,3910,626445,11792,2583,91,6402,3466,106,944,,687,,17184,A+
20200717,CA,6044099,128591,366164,9986,5677935,118605,7475,130,,8450,0,2153,,,,,B
20200717,CO,424349,8133,38726,571,385623,7562,1615,14,5966,412,16,,,,,4909,A
20200717,CT,629969,14421,47893,143,582076,14278,4396,7,10654,66,0,,,,,8466,B
20200717,DC,141607,1365,11115,39,130492,1326,577,3,,87,0,17,,14,,1863,A+
20200717,DE,148610,3740,13337,223,135273,3517,521,0,,55,0,7,,,,7315,A+
20200717,FL,2880768,65150,327241,11466,2553527,53684,4912,130,20526,8961,372,,,,,,A
20200717,GA,1198678,20456,135183,3908,1063495,16548,3132,28,14647,2902,301,,2781,,,,A
20200717,GU,18252,241,314,0,17938,241,5,0,,4,0,,,,,214,B
20200717,HI,101204,1817,1311,19,99893,1798,22,0,138,,1,,,,,975,D
20200717,IA,402453,6002,37722,590,364731,5412,784,6,,210,0,70,,32,,27609,A+
20200717,ID,140319,3456,13133,688,127186,2768,114,4,554,153,28,35,165,,,3676,A
20200717,IL,2167474,43735,160509,1427,2006965,42308,7465,13,,1431,0,309,,128,,,A
20200717,IN,604635,9077,54813,733,549822,8344,2803,8,7814,815,67,258,1658,80,,40421,A+
20200717,KS,249353,9979,21965,1032,227388,8947,299,0,1453,,60,58,427,14,161,983,A
20200717,KY,483062,15058,21605,522,461457,14536,658,8,2864,452,22,89,1031,,,6772,B
20200717,LA,1043940,19803,88590,2179,955350,17624,3509,24,,1413,0,,,161,,53288,B
20200717,MA,1014587,12903,112879,298,901708,12605,8402,22,11691,515,28,76,,34,,95390,A+
20200717,MD,708216,15687,76371,707,631845,14980,3359,12,11728,434,41,128,,,,5286,A
20200717,ME,133445,2983,3636,38,129809,2945,115,1,375,12,1,11,,5,,3114,A+
20200717,MI,1425506,30352,80593,754,1344913,29598,6355,7,,680,0,201,,88,,53867,A+
20200717,MN,819511,14299,45013,666,774498,13633,1573,7,4563,252,37,110,1369,,,38568,A
20200717,MO,537896,8595,31288,866,506608,7729,1121,8,,875,0,,,86,,,B
20200717,MP,10701,1,37,1,10664,0,2,0,4,,0,,,,,29,D
20200717,MS,371464,7564,40829,1032,330635,6532,1332,24,3712,1076,37,253,,129,,25932,A
20200717,MT,130404,2564,2366,135,128038,2429,37,2,159,45,9,,,,,992,C
20200717,NC,1343974,31217,95477,2051,1248497,29166,1606,18,,1180,0,,,,,67124,A
20200717,ND,129475,1419,4792,124,124683,1295,82,0,290,36,5,,,,,3903,D
20200717,NE,226196,2967,22134,155,204062,2812,299,8,1453,96,0,,,,,16501,B
20200717,NH,141786,3514,6165,52,135621,3462,395,1,670,24,2,,192,,,5188,B
20200717,NJ,1768928,9024,176551,50,1592377,8974,15684,19,21003,868,229,141,,66,,31400,A+
20200717,NM,443368,6363,16138,297,427230,6066,562,5,2312,170,28,,,,,6578,B
