date,Americas,Europe,China,Japan,Rest_of_Asia_Pacific
1Q '12,22.07,12.29,4.49,3.65,3.84
2Q '12,16.37,9.52,7.89,2.73,2.68
3Q '12,15.76,8.84,5.67,2.1,2.65
4Q '12,16.85,8.68,5.7,2.45,2.29
1Q '13,24.85,13.58,7.26,4.55,4.27
2Q '13,17.68,10.55,8.77,3.22,3.38
3Q '13,17.37,8.18,4.93,2.61,2.23
4Q '13,17.19,8.67,6.05,3.4,2.16
1Q '14,24.79,14.34,9.5,5.05,3.93
2Q '14,17.98,10.94,9.84,4.05,2.84
3Q '14,17.57,8.66,6.23,2.63,2.34
4Q '14,19.75,10.35,6.3,3.6,2.14
1Q '15,30.57,17.21,16.14,5.45,5.23
2Q '15,21.32,12.2,16.82,3.46,4.21
3Q '15,20.21,10.34,13.23,2.87,2.95
4Q '15,21.77,10.58,12.52,3.93,2.7
1Q '16,29.33,17.93,18.37,4.79,5.45
2Q '16,19.1,11.54,12.49,4.28,3.16
3Q '16,17.96,9.64,8.85,3.53,2.38
4Q '16,20.23,10.84,8.79,4.32,2.67
1Q '17,31.97,18.52,16.23,5.77,5.86
2Q '17,21.16,12.73,10.73,4.49,3.8
3Q '17,20.38,10.68,8,3.62,2.73
4Q '17,23.1,13.01,9.8,3.86,2.81
1Q '18,35.19,21.05,17.96,7.24,6.85
2Q '18,24.84,13.85,13.02,5.47,3.96
3Q '18,24.54,12.14,9.55,3.87,3.17
4Q '18,27.52,15.38,11.41,5.16,3.43
1Q '19,36.94,20.36,13.17,6.91,6.93
2Q '19,25.6,13.05,10.22,5.53,3.62
3Q '19,25.06,11.93,9.16,4.08,3.59
4Q '19,29.32,14.95,11.13,4.98,3.66
1Q '20,41.37,23.27,13.58,6.22,7.38
2Q '20,25.47,14.29,9.46,5.21,3.89
