State,hospitals,staffed_beds,gross_patient_revenue_2019_thousands_USD
AK - Alaska,10,1235,$5374320.00
AL - Alabama,89,15330,$60726101.00
AR - Arkansas,52,7873,$27777922.00
AZ - Arizona,73,13416,$79447094.00
CA - California,343,74624,$484959610.00
CO - Colorado,55,8189,$67533414.00
CT - Connecticut,34,8798,$40204715.00
DC - Washington D.C.,7,2117,$12585158.00
DE - Delaware,8,2072,$7927141.00
FL - Florida,215,56074,$334412480.00
GA - Georgia,112,22521,$109617058.00
GU - Guam,3,306,$424341.00
HI - Hawaii,14,2583,$8136372.00
IA - Iowa,39,6266,$24910171.00
ID - Idaho,18,2455,$13095412.00
IL - Illinois,142,29156,$149805442.00
IN - Indiana,101,16055,$81011375.00
KS - Kansas,56,6382,$33804205.00
KY - Kentucky,74,13618,$59063468.00
LA - Louisiana,108,15040,$57971111.00
MA - Massachusetts,73,15192,$71408802.00
MD - Maryland,53,10803,$19333142.00
ME - Maine,19,2887,$11321002.00
MI - Michigan,105,23722,$95622442.00
MN - Minnesota,55,10504,$44995234.00
MO - Missouri,83,16706,$74225399.00
MP - Northern Mariana Islands,1,74,$0.00
MS - Mississippi,70,10131,$36172882.00
MT - Montana,17,2202,$7493498.00
NC - North Carolina,108,23289,$103690769.00
ND - North Dakota,10,2003,$8424459.00
NE - Nebraska,26,4245,$15310364.00
NH - New Hampshire,14,2276,$13687853.00
NJ - New Jersey,78,20207,$124668729.00
NM - New Mexico,37,3891,$18377251.00
NV - Nevada,31,5726,$44394789.00
NY - New York,187,57288,$249756045.00
OH - Ohio,146,27064,$144742436.00
OK - Oklahoma,90,10289,$48108606.00
OR - Oregon,37,6111,$28554145.00
PA - Pennsylvania,176,34815,$209017774.00
PR - Puerto Rico,52,8231,$4705931.00
RI - Rhode Island,11,2440,$10458737.00
SC - South Carolina,66,11674,$61673524.00
SD - South Dakota,24,2734,$11858256.00
TN - Tennessee,100,18456,$87392676.00
TX - Texas,365,58328,$336725555.00
UT - Utah,35,4621,$19499482.00
VA - Virginia,90,17706,$84246314.00
VI - Virgin Islands,2,184,$194050.00
VT - Vermont,7,835,$4617302.00
WA - Washington,62,10259,$65490845.00
WI - Wisconsin,76,11066,$58035043.00
WV - West Virginia,35,5509,$19010151.00
WY - Wyoming,14,1261,$3070645.00
